title,year,duration,rating,metascore,description
1. Once Upon a Time... in Hollywood,2019,2h 41m,R,84,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way."
2. Harry Potter and the Sorcerer's Stone,2001,2h 32m,PG,65,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
3. Killers of the Flower Moon,2023,3h 26m,R,89,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
4. Aftersun,2022,1h 42m,R,95,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
5. Mad Max 2: The Road Warrior,1981,1h 36m,R,77,"In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community get rid of a horde of bandits."
6. The Fifth Element,1997,2h 6m,PG-13,52,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
7. Deadpool 2,2018,1h 59m,R,66,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable."
8. The Others,2001,1h 44m,PG-13,74,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted."
9. Watchmen,2009,2h 42m,R,56,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history."
10. 300,2006,1h 57m,R,52,"In the ancient battle of Thermopylae, King Leonidas and 300 Spartans fight against Xerxes and his massive Persian army."
11. Kung Fu Panda,2008,1h 32m,PG,74,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
12. Star Wars: Episode III - Revenge of the Sith,2005,2h 20m,PG-13,68,"Three years into the Clone Wars, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot to rule the galaxy."
13. RoboCop,1987,1h 42m,R,70,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
14. Office Space,1999,1h 29m,R,68,Three company workers who hate their jobs decide to rebel against their greedy boss.
15. Moneyball,2011,2h 13m,PG-13,87,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
16. Saw,2004,1h 43m,R,46,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game."
17. Stardust,2007,2h 7m,PG-13,66,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
18. Dark Waters,2019,2h 6m,PG-13,73,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.
19. My Cousin Vinny,1992,2h,R,68,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
20. The Whale,2022,1h 57m,R,60,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
21. The Butterfly Effect,2004,1h 53m,R,30,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
22. Minority Report,2002,2h 25m,PG-13,80,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
23. Hell or High Water,2016,1h 42m,R,88,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
24. The Last of the Mohicans,1992,1h 52m,R,76,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
25. True Grit,2010,1h 50m,PG-13,80,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
26. After Hours,1985,1h 37m,R,89,"Ordinary word processor Paul Hackett experiences the worst night of his life after he agrees to visit Marcy, a Soho resident that he met that evening at a coffee shop."
27. The Birds,1963,1h 59m,PG-13,90,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.
28. What We Do in the Shadows,2014,1h 26m,R,76,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
29. The Boondock Saints,1999,1h 48m,R,44,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
30. The Thin Red Line,1998,2h 50m,R,78,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
31. Midnight in Paris,2011,1h 34m,PG-13,81,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
32. The Machinist,2004,1h 41m,R,61,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
33. Run Lola Run,1998,1h 20m,R,79,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
34. End of Watch,2012,1h 49m,R,68,"Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends and what happens when they meet criminal forces greater than themselves."
35. Rushmore,1998,1h 33m,R,87,"A teenager at Rushmore Academy falls for a much older teacher and befriends a middle-aged industrialist. Later, he finds out that his love interest and his friend are having an affair, which prompts him to begin a vendetta."
36. Gone Baby Gone,2007,1h 54m,R,72,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
37. 3:10 to Yuma,2007,2h 2m,R,76,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
38. The Royal Tenenbaums,2001,1h 50m,R,76,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
39. The Blind Side,2009,2h 9m,PG-13,53,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
40. The Raid: Redemption,2011,1h 41m,R,73,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
41. Ponyo,2008,1h 41m,G,86,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
42. The Mitchells vs. the Machines,2021,1h 54m,PG,81,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
43. 50/50,2011,1h 40m,R,72,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
44. The Bridges of Madison County,1995,2h 15m,PG-13,69,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.
45. I Am Sam,2001,2h 12m,PG-13,28,An intellectually disabled man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.
46. Belle de Jour,1967,1h 40m,Approved,,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
47. Rebel Without a Cause,1955,1h 51m,PG-13,89,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
48. 21 Grams,2003,2h 4m,R,70,"A freak accident brings together a critically ill mathematician, a grieving mother, and a born-again ex-con."
49. Short Cuts,1993,3h 8m,R,81,The day-to-day lives of several suburban Los Angeles residents.
50. The Last King of Scotland,2006,2h 3m,R,74,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.
51. Barton Fink,1991,1h 56m,R,69,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.
52. The Little Prince,2015,1h 48m,PG,70,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
53. When Marnie Was There,2014,1h 43m,PG,72,"Anna, a shy 12-year-old girl, is sent to spend time with her aunt and uncle who live in the countryside, where she meets Marnie. The two become best friends. But Anna gradually discovers that Marnie is not quite who she appears to be."
54. Control,2007,2h 2m,R,78,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to die by suicide at the age of 23."
55. Philomena,2013,1h 38m,PG-13,77,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent."
56. Furiosa: A Mad Max Saga,2024,2h 28m,R,79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.
57. Godzilla Minus One,2023,2h 4m,PG-13,81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
58. Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,81,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
59. All of Us Strangers,2023,1h 45m,R,90,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
60. Anatomy of a Fall,2023,2h 31m,R,86,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
61. John Wick: Chapter 4,2023,2h 49m,R,78,"John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
62. The Goonies,1985,1h 54m,PG,62,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
63. The Hangover,2009,1h 40m,R,73,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
64. Sense and Sensibility,1995,2h 16m,PG,84,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
65. Brokeback Mountain,2005,2h 14m,R,87,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
66. Sicario,2015,2h 1m,R,82,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
67. Taken,2008,1h 30m,PG-13,51,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
68. Kingsman: The Secret Service,2014,2h 9m,R,60,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
69. Blue Velvet,1986,2h,R,75,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
70. Ordinary People,1980,2h 4m,R,86,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
71. Harry Potter and the Goblet of Fire,2005,2h 37m,PG-13,81,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
72. Ex Machina,2014,1h 48m,R,78,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
73. Blue Is the Warmest Colour,2013,3h,NC-17,90,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
74. Airplane!,1980,1h 28m,PG,78,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must safely land a commercial airplane full of passengers."
75. Blazing Saddles,1974,1h 33m,R,73,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
76. The Dirty Dozen,1967,2h 30m,Approved,73,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
77. 500 Days of Summer,2009,1h 35m,PG-13,76,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
78. The Banshees of Inisherin,2022,1h 54m,R,87,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
79. Zodiac,2007,2h 37m,R,79,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
80. Harry Potter and the Deathly Hallows: Part 1,2010,2h 26m,PG-13,65,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
81. Black Hawk Down,2001,2h 24m,R,74,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
82. Lost in Translation,2003,1h 42m,R,91,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
83. Tangled,2010,1h 40m,PG,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
84. Home Alone,1990,1h 43m,PG,63,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
85. X-Men: First Class,2011,2h 11m,PG-13,65,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
86. Man on Fire,2004,2h 26m,R,47,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
87. Ocean's Eleven,2001,1h 56m,PG-13,74,"Danny Ocean, a gangster, rounds up a gang of associates to stage a sophisticated and elaborate casino heist which involves robbing three Las Vegas casinos simultaneously during a popular boxing event."
88. The Lego Movie,2014,1h 40m,PG,83,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
89. Coraline,2009,1h 40m,PG,80,"Wandering her rambling old house in her boring new town, an 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice."
90. The Worst Person in the World,2021,2h 8m,R,91,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
91. Wind River,2017,1h 47m,R,73,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
92. Who Framed Roger Rabbit,1988,1h 44m,PG,83,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
93. Deliverance,1972,1h 49m,R,80,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
94. The Game,1997,2h 9m,R,63,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
95. Training Day,2001,2h 2m,R,71,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
96. Toy Story 4,2019,1h 40m,G,84,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
"97. O Brother, Where Art Thou?",2000,1h 47m,PG-13,69,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
98. A Few Good Men,1992,2h 18m,R,62,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
99. The Count of Monte Cristo,2002,2h 11m,PG-13,61,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
100. And Your Mother Too,2001,1h 46m,1h 46m,89,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other."
